Mississippi St.,South Ala.,20,21
Mississippi St.,South Carolina,27,14
Mississippi St.,LSU,20,23
Mississippi St.,Massachusetts,47,35
Mississippi St.,Auburn,14,38
Mississippi St.,Brigham Young,21,28
Mississippi St.,Kentucky,38,40
Mississippi St.,Samford,56,41
Mississippi St.,Texas A&M,35,28
Mississippi St.,Alabama,3,51
Mississippi St.,Arkansas,42,58
Mississippi St.,Mississippi,55,20
Mississippi St.,Miami (Ohio),17,16
Alabama,Southern California,52,6
Alabama,Western Ky.,38,10
Alabama,Mississippi,48,43
Alabama,Kent St.,48,0
Alabama,Kentucky,34,6
Alabama,Arkansas,49,30
Alabama,Tennessee,49,10
Alabama,Texas A&M,33,14
Alabama,LSU,10,0
Alabama,Chattanooga,31,3
Alabama,Auburn,30,12
Alabama,Florida,54,16
Alabama,Washington,24,7
Alabama,Clemson,31,35
Arkansas,Louisiana Tech,21,20
Arkansas,TCU,41,38
Arkansas,Texas St.,42,3
Arkansas,Texas A&M,24,45
Arkansas,Alcorn St.,52,10
Arkansas,Mississippi,34,30
Arkansas,Auburn,3,56
Arkansas,Florida,31,10
Arkansas,LSU,10,38
Arkansas,Missouri,24,28
Arkansas,Virginia Tech,24,35
Auburn,Clemson,13,19
Auburn,Arkansas St.,51,14
Auburn,Texas A&M,16,29
Auburn,LSU,18,13
Auburn,La.-Monroe,58,7
Auburn,Mississippi,40,29
Auburn,Vanderbilt,23,16
Auburn,Georgia,7,13
Auburn,Alabama A&M,55,0
Auburn,Oklahoma,19,35
Florida,Massachusetts,24,7
Florida,Kentucky,45,7
Florida,North Texas,32,0
Florida,Tennessee,28,38
Florida,Vanderbilt,13,6
Florida,Missouri,40,14
Florida,Georgia,24,10
Florida,South Carolina,20,7
Florida,LSU,16,10
Florida,Florida St.,13,31
Florida,Iowa,30,3
Georgia,North Carolina,33,24
Georgia,Nicholls St.,26,24
Georgia,Missouri,28,27
Georgia,Mississippi,14,45
Georgia,Tennessee,31,34
Georgia,South Carolina,28,14
Georgia,Vanderbilt,16,17
Georgia,Kentucky,27,24
Georgia,La.-Lafayette,35,21
Georgia,Georgia Tech,27,28
Georgia,TCU,31,23
Kentucky,Southern Miss.,35,44
Kentucky,New Mexico St.,62,42
Kentucky,South Carolina,17,10
Kentucky,Vanderbilt,20,13
Kentucky,Missouri,35,21
Kentucky,Tennessee,36,49
Kentucky,Austin Peay,49,13
Kentucky,Louisville,41,38
Kentucky,Georgia Tech,18,33
LSU,Wisconsin,14,16
LSU,Jacksonville St.,34,13
LSU,Missouri,42,7
